,index,name,text,episode,timestamp,inaudible_speech,nonspeech
182600,73,MATT,"Upon entering the tent, they saw a number of performances. However, during a musical performance by this young dwarven girl whose voice was this mysterious, magically enchanting experience, a member of the audience rose up and began to transform into a terrible undead creature that began to lash out, killing another member of the audience, who then began to become one of these same creatures. You all, grabbing your weapons from Yasha, who had been keeping them stashed away, leapt into the fray, slaughtered both of these terrible beasts, just in time for the crownsguard to rush in and ask you what the hell happened. After information had been gathered of who was immediately available and responsible for this carnival, Gustav, Bo the Breaker, and Molly were marked to be arrested. One of the guards was escorted outside of the tent by Yasha, who was going to show him where this young dwarven girl was currently resting, and upon being led astray to the wrong tent, she just ran into the distant hills and vanished. And that is where we left off. ",2,00:09:27,,
182601,74,SAM,So we're still at the carnival? ,2,00:10:36,,
182602,75,MATT,You're still in the tent. ,2,00:10:39,,
182603,76,LIAM,With crownsguard? ,2,00:10:40,,
182604,77,MATT,"With the crownsguard and with Watchmaster Jossyd. The crownsguard that had left naught but a moment before comes rushing in, his breath huffing, sweat dripping from his brow, his eyes wild. He goes, ""Watchmaster! The big woman is gone! She's gone!"" The Watchmaster turns to him and says, ""You three, go with him. Search for her."" They all immediately run out back out the performer's flap and he turns to the rest of you in the group, ""Shackle and drag those three down to the stockade."" About five guards approach and begin to press Gustav, Bo, and Molly to the ground and begin to put chains and shackles on them. ",2,00:10:42,,
182605,78,TALIESIN,I'd like to make a counteroffer? ,2,00:11:28,,
182606,79,MATT,"He's in mid-speech, ""The rest of you keep an eye on the performers here. Ask around, see what you can find. As for the others, don't go far."" ",2,00:11:32,,
182607,80,LAURA,"The innocent patrons, you mean? ",2,00:11:48,,
182608,81,MATT,"You will be questioned, and when this investigation is completed, regardless of how long it may take, you are not to leave Trostenwald."" ",2,00:11:50,,
182609,82,LIAM,"If I could just contribute one word, the 40 or so people who are outside and the rest of us will vouch for this one, the colorful one. He saved many people's lives. Don't take my word for it. There's everyone outside. ",2,00:12:09,,
182610,83,MATT,"All the rest of the crownsguard glance to each other, he goes, ""Well, unfortunately, that is not for me to decide. The Lawmaster would have to be appealed to. If you wish to come with us, we can bring you along with us to the stockade and you can speak with her. Then, perhaps, she may grant you leniency, but I can give you no guarantee."" ",2,00:12:24,,
182611,84,MARISHA,Why don't you just question us right now? I'm confused on why you don't just do that now. ,2,00:12:44,,
182612,85,MATT,"""Well, we could do that instead. We'll have you arrested, put you in the stockade as we question the rest of you."" ",2,00:12:51,,
182613,86,LAURA,"No, let's go to the stockade. ",2,00:12:59,,
182614,87,TRAVIS,"Yeah, we'll all be in one place. ",2,00:13:01,,
182615,88,LAURA,Yeah. ,2,00:13:03,,
182616,89,MARISHA,Jails are not my favored terrain. Just want to point that out. Not this go-around. No. ,2,00:13:05,,
182617,90,TRAVIS,Good to know. ,2,00:13:12,,
182618,91,LAURA,I would have guessed that about you. ,2,00:13:14,,
182619,92,MARISHA,Not really comfortable with that. ,2,00:13:16,,
182620,93,MATT,"Watch over the performers. Make sure nobody leaves. Come if you wish. Otherwise, we'll be in touch."" The Watchmaster gathers alongside the other five crownsguard, lifting up the shackles of the three that had been arrested and begin to drag them outside of the tent and into the night air. ",2,00:13:20,,
182621,94,LIAM,I send Frumpkin to follow. ,2,00:13:41,,
182622,95,MATT,Okay. ,2,00:13:42,,
182623,96,MARISHA,Can I double back into the performance area and see if I can find that little girl that they're looking for? Before they do? ,2,00:13:44,,
182624,97,MATT,"You may, if you want to. So you send Frumpkin just to follow them. You guys are staying behind, then? ",2,00:13:51,,
182625,98,TRAVIS,Are there three regular crownsguard that are going with Molly? Or is the Watchmaster going with them as well? ,2,00:13:56,,
182626,99,MATT,"The Watchmaster is going with them, or at least he's exiting the tent with them. It looks like there are five crownsguard attending the three of them that are shackled. ",2,00:14:03,,
182627,100,TRAVIS,I'll go out the front exit of the tent just to see if the Watchmaster goes with Molly. ,2,00:14:08,,
182628,101,MATT,Okay. ,2,00:14:13,,
182629,102,LAURA,I'll follow Fjord. ,2,00:14:14,,
182630,103,MATT,"Anybody with them? Currently, it's you two and Frumpkin. ",2,00:14:16,,
182631,104,SAM,"Are we going with them or not? Should we stay here? This is not our affair, right? ",2,00:14:22,,
182632,105,LIAM,I don't know. I'm having second thoughts about being here at all. ,2,00:14:28,,
182633,106,SAM,"Well, you sent the kitty, didn't you? ",2,00:14:33,,
182634,107,LIAM,"Yes, and we're not going to leave without him. Why don't we just--? ",2,00:14:35,,
182635,108,SAM,Follow behind a bit? ,2,00:14:40,,
182636,109,LIAM,That's right. ,2,00:14:42,,
182637,110,SAM,Okay. Sounds good. ,2,00:14:44,,
182638,111,MATT,"All right, so as you guys exit, keeping a pace behind, watching the crownsguard guiding the current prisoners towards the actual city, Frumpkin keeping a zig-zagging distance behind and following. ",2,00:14:47,,
182639,112,LIAM,DM? ,2,00:15:06,,
182640,113,MATT,Yes? ,2,00:15:07,,
182641,114,LIAM,"Is it possible for me, if Nott is holding my hand and leading me, to go full third eye and walk blind and deaf here looking through Frumpkin's senses? ",2,00:15:08,,
182642,115,MATT,"I would say yes, but you are purely like-- because all you're doing is walking forward and you need someone to guide you. ",2,00:15:20,,
182643,116,LIAM,Right. ,2,00:15:26,,
182644,117,SAM,And he can't communicate to me either so-- ,2,00:15:27,,
182645,118,LIAM,"I can talk, but I can't hear you. I can talk and hold her hand so she can stop me from prat-falling all over myself. ",2,00:15:29,,
182646,119,SAM,Yes. But you can talk? ,2,00:15:37,,
182647,120,MATT,He can talk but he can't hear you. ,2,00:15:39,,
182648,121,SAM,Got it. Okay. Great. ,2,00:15:41,,
182649,122,LIAM,But we've done this before so you know to squeeze my hand really hard if I should pipe down. ,2,00:15:43,,
182650,123,SAM,Sure. ,2,00:15:48,,
182651,124,MATT,"All right. So, first off, Beauregard. ",2,00:15:50,,
182652,125,MARISHA,Yeah. ,2,00:15:53,,
182653,126,MATT,"As you back out of the performer's exit of the tent into the center of their encampment, the immediate exit, there are already four crownsguard currently searching around and setting up a watch perimeter around the different tents. They're gathering and making sure none of the other performers have fled and a lot of them are being brought out into an area where there's a number of tents all facing towards a large campfire in the center. There's a couple of chairs set up there, it's kind of the common area for the performers of the carnival and it looks like they're all being put out there so they can get a bead on it and make sure they know where everyone else is. ",2,00:15:54,,
182654,127,MARISHA,"I'm going to try to be aloof, stealth a little bit. I don't want to make myself completely known. ",2,00:16:27,,
182655,128,MATT,Are you trying to stealth out of sight or just trying to not draw attention? ,2,00:16:34,,
182656,129,MARISHA,"No, just trying not to draw attention. ",2,00:16:38,,
182657,130,MATT,"Okay, all right. Go and make a stealth check just to see if-- ",2,00:16:40,,
182658,131,SAM,"Wait, did we just all ditch Marisha? ",2,00:16:45,,
182659,132,LAURA,She just walked out. ,2,00:16:48,,
182660,133,MARISHA,I ditched you. That's cocked. That's better. 17. ,2,00:16:49,,
182661,134,MATT,"17. Okay. As you kind of dart through the flap of the tent and move behind one of the large carts that currently is still affixed to a horse that is currently just chewing on an apple, and you hear the crunch in its teeth, you glance over past the edge of the immediate near tent and you can see this group gathering there and it appears that no one's immediately aware of your presence. ",2,00:16:59,,
182662,135,MARISHA,Do I see the little girl whose name was-- what was her name? ,2,00:17:20,,
182663,136,MATT,"Toya. You do not see her yet. The guard just got out there and they're just beginning to pull people out. You do see the fire dancer brought out there. You then see the two-- Yeah, Ornna. The Knot sisters are brought out and pushed out there and they're all looking very frustrated. ",2,00:17:24,,
182664,137,MARISHA,Are people being amicable? ,2,00:17:45,,
182665,138,MATT,"Yeah, they're not shoving them around, they're just calling them out to the front so they know where they are. ",2,00:17:46,,
182666,139,MARISHA,"Okay. I want to look around. Do I see any type of movement in the shadows, anyone looking suspicious? ",2,00:17:52,,
182667,140,MATT,Make a perception check. ,2,00:17:58,,
182668,141,MARISHA,Ooh yeah! Natural 18. 21. ,2,00:18:00,,
182669,142,MATT,"21. Okay, as you glance about, you don't see anything lurking in the shadows. What you do notice, though, is one of them bring Toya out of one of the-- the tent that's on the southern side and as he brings her out, there's a heavy thud sound, and you see coming out from behind the tent the large form of-- you heard the name Kylre once, but the ''devil toad."" The obese lizard man who's stomping up behind. ",2,00:18:06,,
182670,143,LAURA,Is he a dude or is he a creature? ,2,00:18:39,,
182671,144,MATT,"It looks like a lizard man, so scaled, humanoid, but extremely thick, bulbous belly, large, almost frog-like legs-- ",2,00:18:41,,
182672,145,TRAVIS,Bipedal or on all fours? ,2,00:18:52,,
182673,146,MATT,"Due to the size of his form, mostly all fours and lumbering forward on all of them but sits back on a bipedal situation. ",2,00:18:57,,
182674,147,MARISHA,So they're bringing the both of them out? ,2,00:19:06,,
182675,148,MATT,"The toad is hiding behind the tent and as soon as Toya comes out, comes up to the guard and puffs up its chest. The guard spins around and goes for the blade and pulls it out just carefully. ",2,00:19:08,,
182676,149,MARISHA,Am I still next to that horse? ,2,00:19:21,,
182677,150,MATT,"The horse is currently still up on the cart, but is about 30 feet from you. ",2,00:19:23,,
182678,151,SAM,Beast Shape! ,2,00:19:35,,(laughter) 
182679,152,MARISHA,I'm going to take my staff and give a really nice whack to the horse to get it to run. ,2,00:19:40,,
182680,153,MATT,You know what? Let's go ahead and make an animal handling check on that. ,2,00:19:48,,
182681,154,SAM,We never get to make those! ,2,00:19:51,,
182682,155,LIAM,First of the show! ,2,00:19:53,,
182683,156,MARISHA,"Oh my god, I'm so nervous right now. ",2,00:19:55,,
182684,157,TRAVIS,"You're good, you're good, you're good. ",2,00:20:01,,
182685,158,MARISHA,That's not great. 11? ,2,00:20:02,,
182686,159,MATT,"11 will do. It wasn't a hard DC, but it was more knowing where to hit it to where it would cause it to bolt versus just get angry. ",2,00:20:05,,
182687,160,MARISHA,"Get pissed, sure, kick me. ",2,00:20:12,,
182688,161,MATT,"So going for-- not to actually hurt the creature but just enough to spook it, you hit it in the right place towards the back of its hindquarters to cause it to suddenly rear up     and go into a sprint. The cart begins to bounce and smash onto the ground. You can see the wheels clattering into the rocks and the stone between the bits of-- ",2,00:20:14,,(neighs) (cart clattering noise)
182689,162,MARISHA,I'm going to bolt in the opposite direction and try and loop around to the south side of the tent. ,2,00:20:33,,
182690,163,MATT,"Make another stealth check, please. ",2,00:20:38,,
182691,164,MARISHA,"Big dice, big dice. Okay, 19! ",2,00:20:39,,
182692,165,MATT,"""Check!"" Points to them and then bolts off to go after the horse. The other three stay, watching over the group. ",2,00:20:45,,
182693,166,MARISHA,"Okay, can I loop around, kind of come up behind them? ",2,00:21:17,,
182694,167,MATT,"I mean, they're scattered a bit but there's-- ",2,00:21:19,,
182695,168,MARISHA,The devil toad and Toya. ,2,00:21:21,,
182696,169,MATT,Oh yeah. Make another stealth check. You're running through open areas each time you're doing this. ,2,00:21:23,,
182697,170,MARISHA,Yep.  Did you see that?! It leaned to a four. Ten. ,2,00:21:27,,(yells)
182698,171,TRAVIS,That is a bastard die right there. ,2,00:21:37,,
182699,172,MARISHA,That sucked. ,2,00:21:39,,
182700,173,TRAVIS,That's a tease. ,2,00:21:40,,
182701,174,MARISHA,"Laura, put him in the dice jail. ",2,00:21:41,,
182702,175,LAURA,"I don't have my dice jail out yet. It's okay, he'll chill there. ",2,00:21:43,,
182703,176,MATT,"As you come up around the back of the devil toad, the guard that runs past doesn't immediately notice you because he's focused on where this cart is running off and you can see another guard that was far away from this encampment that's circling back with him. The two of them are now bolting in the direction as the cart begins to slow. It's not just going forward forever but it spooked him and it's starting to slow down. They're just going to inspect it. However, as you slink up behind, the devil toad's head curls back towards you and you hear this deep, guttural . ",2,00:21:47,,(growls)
182704,177,MARISHA,"""Okay. It's okay. Toya?"" And I look at Toya. ""Hey, come on, let's get out of here, let's go."" ",2,00:22:16,,
182705,178,MATT,"At which point a voice says, ""Excuse me?!"" And you can see the three guards are there staring at you. ",2,00:22:24,,
182706,179,MARISHA,Fuck. You didn't say there were fucking guards. ,2,00:22:32,,
182707,180,MATT,I did say there were three guards. The three guards watching them. ,2,00:22:35,,
182708,181,MARISHA,I thought you said they left. ,2,00:22:39,,
182709,182,MATT,One of them left. ,2,00:22:41,,
182710,183,MARISHA,One of them left. So wait. Oh shit. ,2,00:22:43,,
182711,184,MATT,"It's a bad stealth check, I'm sorry. But there's now three crownsguard right there and they're like, ""Can I help you?"" ",2,00:22:45,,
182712,185,TRAVIS,Time to go to jail. ,2,00:22:52,,
182713,186,LAURA,"Oh, this is so exciting. ",2,00:22:53,,
182714,187,SAM,Kill them all. ,2,00:22:56,,
182715,188,MARISHA,Ey! I was actually just looking for the loo? ,2,00:22:58,,
182716,189,MATT,"The guard that's closest to you glances to the other guys and goes, ""She was with the group, right?"" They recognize you, and they look at each other. ""You're going to the stockade, my dear."" ",2,00:23:05,,
182717,190,MARISHA,No! ,2,00:23:20,,
182718,191,MATT,The three guards slowly approach and they begin to take out chains and manacle you up. ,2,00:23:23,,
182719,192,SAM,"In an effort not to go to jail, you went ",2,00:23:28,,
182720,193,MARISHA,I'm trying to get the girl. I was trying to free the damn girl. ,2,00:23:33,,
182721,194,MATT,I know. ,2,00:23:37,,
182722,195,TALIESIN,You'll be fine. ,2,00:23:39,,
182723,196,MATT,So you're shackled and begin to be dragged toward the stockade. ,2,00:23:42,,
182724,197,MARISHA,"It's just the two guards, right? ",2,00:23:47,,
182725,198,MATT,"It's the two guards now. As you're being brought back, you can see more guards are coming from the city to the carnival. They're keeping it under surveillance. ",2,00:23:51,,
182726,199,MARISHA,So are they taking me away? ,2,00:23:59,,
182727,200,MATT,"They're taking you to the city, yeah. ",2,00:24:00,,
182728,201,MARISHA,What are they doing with Toya? Anything? Are they leaving them behind? ,2,00:24:02,,
182729,202,MATT,"They're leaving them behind currently with the guards that are there. They're not arresting anybody from the carnival, but they're not letting them leave. But they're keeping them there. ",2,00:24:04,,
182730,203,MARISHA,Okay. I'm going to do a quick-- ,2,00:24:13,,
182731,204,SAM,Kill them all. ,2,00:24:21,,
182732,205,MARISHA,I'm in shackles? ,2,00:24:23,,
182733,206,MATT,You are. ,2,00:24:24,,
182734,207,MARISHA,"Okay. I'm going to do some monk shit here. I'm going to elbow one of the guards. Right in the ribs. And take the other one and bash the other one in the face and then I'm going to turn to Toya and I'm going to say, ""Run! Run! Go! Run!"" ",2,00:24:26,,
182735,208,MATT,Okay. Go ahead and-- ,2,00:24:41,,
182736,209,SAM,Make all kinds of rolls. ,2,00:24:45,,
182737,210,MATT,"First, go ahead and make an athletics check. ",2,00:24:47,,
182738,211,"MARISHA, SAM",This is a terrible idea. ,2,00:24:49,,
182739,212,LAURA,"To not drag any attention towards her, you are completely shoving her into the limelight. ",2,00:24:54,,
182740,213,MARISHA,Trying to distract these fucking assholes. That is a six. Ten. ,2,00:25:01,,
182741,214,MATT,You imagine in your head; you go over it two or three times. As you go through the first step--  doesn't go anywhere. ,2,00:25:08,,(grunt)
182742,215,TRAVIS,Tried to do the Sherlock Holmes. ,2,00:25:30,,
182743,216,MARISHA,"Do I at least get the ""Run!"" out to Toya? ",2,00:25:31,,
182744,217,MATT,No. I'm sorry. ,2,00:25:37,,
182745,218,MARISHA,Is she just standing there? Waiting for a guard? ,2,00:25:40,,
182746,219,TRAVIS,,2,00:25:44,,(laughter) 
182747,220,MARISHA,What is she doing? Is she running? ,2,00:25:49,,
182748,221,MATT,"No. Honestly, the devil toad and her seem pretty close. He is grabbing her in a protective manner. ",2,00:25:55,,
182749,222,MARISHA,"No, they can both run. Run for your life! Fine, whatever. She wants to get arrested at this point. ",2,00:26:01,,
182750,223,MATT,Two bad rolls in a row. I know. Level two. ,2,00:26:10,,
182751,224,MARISHA,I go join my friends. ,2,00:26:15,,
182752,225,MATT,"You will shortly. Ahead of her, along the way, Gustav is just quiet. Bo the Breaker, Bosun, as you know him by his full name, is grumbling under his breath and is trying to out-loud piece together thoughts on what may have what transpired, saying things like, ""I don't know, you think it's done on the inside? Or is this somebody trying to sabotage it?"" ",2,00:26:18,,
182753,226,TALIESIN,I think maybe it has nothing to do with us. I think maybe we were just caught in the crossfire. ,2,00:26:48,,
182754,227,MATT,It is quite possible. ,2,00:26:52,,
182755,228,TALIESIN,"Sorry, sir. Trying to keep my mouth shut. ",2,00:26:53,,
182756,229,MATT,"""All right, bring them forward."" They go ahead and pull the chains up. The watchmaster bows his head and then leaves the room. She steps forward and goes, ""I am Norda. It is my job to keep this city safe and keep shite like what happened tonight from happening. I approved your second time on the outskirts of our town and you have killed two of my people. What have you to say about yourselves?"" ",2,00:26:57,,
182757,230,TALIESIN,"Exactly how did we kill them, exactly? ",2,00:29:42,,
182758,231,MATT,"She glances over at you. Glances over at Gustav, ""I have been told by my guard that you gave performance, and as part of this performance you released two beasts into the midst of the population."" ",2,00:29:45,,
182759,232,LAURA,Technically. ,2,00:30:03,,
182760,233,TALIESIN,"Thank you. Yes, you see-- ",2,00:30:09,,
182761,234,MATT,"Gustav interrupts you and says, ""I'm so sorry, my liege. Please, I take full responsibility for what happened this evening on myself. These people around me had nothing to do with this. They are not part of the carnival, they were just merely helping. It is my carnival, and whatever judgement there lies, I take upon myself and my head."" At which point Bo the half-orc steps forward, against his chains and goes, ""Gustav, what are you doing?"" He's like, ""Shut. Up. Please, whatever judgement there is, put it upon me,"" and he bows his head low. ""Is that the case? Is he the only one?"" She takes a good, hard look at you and Bo the Breaker. ",2,00:30:14,,
182762,235,TALIESIN,"Oh, are you waiting for me to speak? Yes, he's the only one. ",2,00:31:04,,
182763,236,MATT,Make a persuasion check. ,2,00:31:08,,
182764,237,TALIESIN,"Natural 20. About fucking time, you little shit! ",2,00:31:12,,
182765,238,MATT,"We'll be talking to you very soon."" At which point, the crownsguard drag the chains back and Gustav gives you a quick look under his eye and goes-- as they're pulled out of the room, out of sight. She glances to you, ""Well, you're out of chains! That's great. Doesn't mean you're absolved of the investigation. So, where are you staying? You and your compatriots?"" ",2,00:31:19,,
182766,239,LAURA,"Well, technically we just all met, technically. ",2,00:31:59,,
182767,240,MATT,"""Well, technically, as far as I'm concerned, you're all together as part of this investigation."" ",2,00:32:03,,
182768,241,LAURA,We're a group you guys! ,2,00:32:09,,(laughter) 
182769,242,MATT,"""So we're going to have our investigators come to wherever you're staying, which--,"" and she looks down at some papers here, ""-- looks to be the Nestled Nook?"" ",2,00:32:16,,
182770,243,TRAVIS,That's correct. ,2,00:32:27,,
182771,244,MATT,"""All right. Don't leave the city. We'll be in touch."" ",2,00:32:29,,
182772,245,LAURA,"Great, I really like it here so that's good that we get to stay so long. ",2,00:32:34,,
182773,246,MATT,"""Do you have something to say?"" ",2,00:32:41,,
182774,247,TALIESIN,No. Just shocked to see someone die in front of me not more than-- ,2,00:32:44,,
182775,248,TRAVIS,"I can assure you, we're here to cause no trouble. We will be as compliant as we possibly can be. ",2,00:32:51,,
182776,249,MATT,"""Good. Dismissed!"" She claps the edge of the table. The remaining crownsguard, who's left there to keep watch, escorts you out off the stockade, escorts you onto the street. ",2,00:32:58,,
182777,250,LAURA,Her accent is really strong! It's hard to not match her accent! ,2,00:33:13,,(laughter) 
182778,251,TALIESIN,It's the one accent that I really have trouble with. ,2,00:33:21,,
182779,252,TRAVIS,Would you call it infectious? ,2,00:33:23,,
182780,253,TALIESIN,Bastard. ,2,00:33:25,,
182781,254,MATT,Sorry. ,2,00:33:27,,
182782,255,TALIESIN,The one that we know is a problem. ,2,00:33:28,,
182783,256,LIAM,"I'm going to call my cat back to me and I drop the telepathy and I just start tugging you back to the Nestled Nook. Come on, we have to talk about this. We have to decide what we're going to do. ",2,00:33:31,,
182784,257,SAM,Right away. ,2,00:33:44,,
182785,258,TRAVIS,Excuse me-- ,2,00:33:45,,
182786,259,LAURA,They're not with us. ,2,00:33:46,,
182787,260,TRAVIS,"Oh, I thought you were right behind us. ",2,00:33:47,,
182788,261,LIAM,"My cat was in there, but not I. ",2,00:33:49,,
182789,262,MATT,"Yeah, but you'd have to stay within 100 feet to maintain that. ",2,00:33:50,,
182790,263,LIAM,"Well, we would've walked up to the building, the cat would've scurried around, if possible. So I'd like to think that I heard all that, which is why just I said all the things I did. ",2,00:33:53,,
182791,264,MATT,"Yeah, you can do that. So, you guys are jettisoned into the street. It's now probably just past midnight. ",2,00:34:01,,
182792,265,TRAVIS,"Mollymauk, I don't mean to pry into your business, but has this ever happened to you before? ",2,00:34:16,,
182793,266,TALIESIN,"This has never-- anything like this has ever happened before. And thank you. For the record, I don't owe any of you anything-- ",2,00:34:21,,
182794,267,TRAVIS,"Oh, I don't know about that. ",2,00:34:29,,
