,index,name,player,text,episode,inaudible_speech,nonspeech,season
34283,65,Jasper,Jasper, Where are we gonna live?,2,,,Burrow's End
34284,66,Tula,Brennan," Well, there was a time before our family found the burrow, and",2,,,Burrow's End
34285,67,Tula,Brennan,"they made it long enough to find the Red Warren, and so we're gonna do",2,,,Burrow's End
34286,68,Tula,Brennan,what they did and we're gonna wait long enough to find another place to,2,,,Burrow's End
34287,69,Tula,Brennan,live. We're gonna go search in the woods and we'll just be together-,2,,,Burrow's End
34288,70,Ava,Erika," Find other critters and kill them and take their home, yes. Very",2,,,Burrow's End
34289,71,Ava,Erika,"good, Tula.",2,,,Burrow's End
34290,72,Tula,Brennan, The way that we found the Red Warren is that it used to be rabbits,2,,,Burrow's End
34291,73,Tula,Brennan,"that lived there, and your grandmother, when she was a very little girl,",2,,,Burrow's End
34292,74,Tula,Brennan,and her parents and grandparents found the Red Warren and they hunted,2,,,Burrow's End
34293,75,Tula,Brennan,"the rabbits, and that was the first food they found in that place, and",2,,,Burrow's End
34294,76,Tula,Brennan,"then that's where we all lived. So somewhere out there in the woods,",2,,,Burrow's End
34295,77,Tula,Brennan,"here in the high ground, away from that bad air, we're gonna find a",2,,,Burrow's End
34296,78,Tula,Brennan,"place just like that and we're gonna be able to make it into a home,",2,,,Burrow's End
34297,79,Tula,Brennan,okay?,2,,,Burrow's End
34298,80,Lila,Izzy," But how do we know that where we go next isn't gonna have bad, bad",2,,,Burrow's End
34299,81,Lila,Izzy,dust everywhere and Blue and monsters and things that everybody talks,2,,,Burrow's End
34300,82,Lila,Izzy,about but doesn't say what it is?,2,,,Burrow's End
34301,83,Tula,Brennan," Well, we're just gonna have to be very careful, and we're gonna",2,,,Burrow's End
34302,84,Tula,Brennan,have to look hard and try to find a place that's safe.,2,,,Burrow's End
34303,85,Thorn,Jasper, I do think there is things that we can do. I think I've seen,2,,,Burrow's End
34304,86,Thorn,Jasper,"these creatures, this force that you spied from the tree before, and,",2,,,Burrow's End
34305,87,Thorn,Jasper,"well, I've seen things that can affect these creatures. It is possible",2,,,Burrow's End
34306,88,Thorn,Jasper,that we could maybe even once drive them out. That was the whole basis,2,,,Burrow's End
34307,89,Thorn,Jasper,"of my, of the Lukura,  what remains of it. But I see no reason",2,,(laughs),Burrow's End
34308,90,Thorn,Jasper,why we couldn't do the same.,2,,,Burrow's End
34309,91,Viola,Rashawn," Thorn, I'm just, I'm confused because we can't even touch it. How",2,,,Burrow's End
34310,92,Viola,Rashawn,do we fight something we can't touch?,2,,,Burrow's End
34311,93,Tula,Brennan," The air, no, the lightning.",2,,,Burrow's End
34312,94,Rashawn,Rashawn, I don't know if Viola's ever seen lightning.,2,,,Burrow's End
34313,95,Aabria,Aabria, Give me an arcana check.,2,,,Burrow's End
34314,96,Rashawn,Rashawn, 12.,2,,,Burrow's End
34315,97,Aabria,Aabria," Thorn has told you the story of this, but you've never seen the",2,,,Burrow's End
34316,98,Aabria,Aabria,"conditions that he experienced on that night, lightning, not coming down",2,,,Burrow's End
34317,99,Aabria,Aabria,"from the sky, but up from the ground and between creatures of",2,,,Burrow's End
34318,100,Aabria,Aabria,unfathomable size. You've seen sparks and bits of lightning when Thorn,2,,,Burrow's End
34319,101,Aabria,Aabria,"truly focuses, moments of brilliance that have inspired a lot of the",2,,,Burrow's End
34320,102,Aabria,Aabria,"worship that's happened in and around him and the cult, but the scale of",2,,,Burrow's End
34321,103,Aabria,Aabria,"the thing that you saw from the top of the tree, you, like, trying to",2,,,Burrow's End
34322,104,Aabria,Aabria,"figure out, like, you can't fathom the size of the thing that's coming.",2,,,Burrow's End
34323,105,Aabria,Aabria,"So it's sort of, isn't really lining up with what he's saying.",2,,,Burrow's End
34324,106,Rashawn,Rashawn," Hmm. Viola I guess is kind of falling into herself. Like, she's",2,,,Burrow's End
34325,107,Rashawn,Rashawn,"a little scared because this is, it was a story at first, and now it's",2,,,Burrow's End
34326,108,Rashawn,Rashawn,"tangible, or intangible, and that is very confusing to her. So I guess",2,,,Burrow's End
34327,109,Rashawn,Rashawn,"she looks to her mother for any,",2,,,Burrow's End
34328,110,Viola,Rashawn," Mama, I'm scared.",2,,,Burrow's End
34329,111,Ava,Erika," Well, that's perfectly normal.",2,,,Burrow's End
34330,112,Viola,Rashawn," Great advice.   Good talking to you, Mama.",2,,(laughs)(group laughs),Burrow's End
34331,113,Viola,Rashawn,Great.,2,,,Burrow's End
34332,114,Ava,Erika," Well, well, we just gotta push on through.",2,,,Burrow's End
34333,115,Thorn,Jasper, But I understand why you're scared. I understand why we're all,2,,,Burrow's End
34334,116,Thorn,Jasper,"scared, but in the same way that we've seen these creatures, I have seen",2,,,Burrow's End
34335,117,Thorn,Jasper,"them be repelled. I've seen them be pushed back by this force, this",2,,,Burrow's End
34336,118,Thorn,Jasper,"lightning, this magic, and all of us possess it in some way, shape, or",2,,,Burrow's End
34337,119,Thorn,Jasper,"form. Perhaps it's not lightning, but it's still some brilliance that",2,,,Burrow's End
34338,120,Thorn,Jasper,you all possess.,2,,,Burrow's End
34339,121,Tula,Brennan, How many of these monsters have you repelled?,2,,,Burrow's End
34340,122,Thorn,Jasper, That's an interesting question. ,2,,(chuckles nervously),Burrow's End
34341,123,Viola,Rashawn," It's okay, you can tell 'em, we're all family here.",2,,,Burrow's End
34342,124,Ava,Erika," That's right, son, you tell us how many monsters that you've",2,,,Burrow's End
34343,125,Ava,Erika,repelled.,2,,,Burrow's End
34344,126,Thorn,Jasper," One, probably, kind of.",2,,,Burrow's End
34345,127,Olliver,Aabria," There was, like, another one there, I think. There was, like,",2,,,Burrow's End
34346,128,Olliver,Aabria,two.,2,,,Burrow's End
34347,129,Thorn,Jasper," Yeah, there were probably, yeah, probably two. Probably two.",2,,,Burrow's End
34348,130,Viola,Rashawn, Two.,2,,,Burrow's End
34349,131,Thorn,Jasper,"  Thank you, Olliver.",2,,(whisper),Burrow's End
34350,132,Olliver,Aabria,  Yeah.,2,,(whisper),Burrow's End
34351,133,Tula,Brennan, So you have the power to repel these monsters.,2,,,Burrow's End
34352,134,Thorn,Jasper," I'm not saying that, well, the whole point of the Lukura was that",2,,,Burrow's End
34353,135,Thorn,Jasper,"we were to  try and ascend towards this power, keep training,",2,,(sighs),Burrow's End
34354,136,Thorn,Jasper,"getting better, getting stronger.",2,,,Burrow's End
34355,137,Tula,Brennan," It's a goal, it's an aspiration.",2,,,Burrow's End
34356,138,Thorn,Jasper, Yes.,2,,,Burrow's End
34357,139,Tula,Brennan," All right, so I think that that's a very worthy aspiration, and",2,,,Burrow's End
34358,140,Tula,Brennan,"that before that, we will probably have to find shelter from rain. We",2,,,Burrow's End
34359,141,Tula,Brennan,"will have to find food so that we do not go hungry, and there are a",2,,,Burrow's End
34360,142,Tula,Brennan,number of things that are very dangerous that are not creatures or,2,,,Burrow's End
34361,143,Tula,Brennan,monsters or the Blue. There are some very simple things that are,2,,,Burrow's End
34362,144,Tula,Brennan,"dangerous, like going cold and going hungry, and we need to find shelter",2,,,Burrow's End
34363,145,Tula,Brennan,and safety.,2,,,Burrow's End
34364,146,Teedles,Aabria," Mrs. Tula, that is what, before we got to where we were camped,",2,,,Burrow's End
34365,147,Teedles,Aabria,"that's what we did, we are good.",2,,,Burrow's End
34366,148,Thorn,Jasper," We were quite good at it, yeah. ",2,,(laughs),Burrow's End
34367,149,Teedles,Aabria, At surviving-,2,,,Burrow's End
34368,150,Thorn,Jasper, We moved around and we would find shelter where needed and food,2,,,Burrow's End
34369,151,Thorn,Jasper,where we needed-,2,,,Burrow's End
34370,152,Tula,Brennan," I didn't mean to insinuate that you weren't, Thorn-",2,,,Burrow's End
34371,153,Teedles,Aabria," No, not at all.",2,,,Burrow's End
34372,154,Tula,Brennan, I just-,2,,,Burrow's End
34373,155,Teedles,Aabria," I'm trying to be reassuring, I don't know how to,  is",2,,(whisper),Burrow's End
34374,156,Teedles,Aabria,this working?,2,,,Burrow's End
34375,157,Thorn,Jasper,  This is great.,2,,(whisper),Burrow's End
34376,158,Teedles,Aabria, This is great.,2,,,Burrow's End
34377,159,Thorn,Jasper, I think everyone's just- ,2,,(group chattering),Burrow's End
34378,160,Tula,Brennan," If it's all right with you, Thorn, I think that the best thing for",2,,,Burrow's End
34379,161,Tula,Brennan,the cause is for us to be safe.,2,,,Burrow's End
34380,162,Thorn,Jasper, Absolutely.,2,,,Burrow's End
34381,163,Tula,Brennan, And so if we know of any place where these monsters are not that,2,,,Burrow's End
34382,164,Tula,Brennan,we can recover and get on our feet and make sure that the children are,2,,,Burrow's End
34383,165,Tula,Brennan,"safe and that they have a place to rest, then that is of the highest",2,,,Burrow's End
34384,166,Tula,Brennan,"priority, and I think we're all in agreement on that.",2,,,Burrow's End
34385,167,Thorn,Jasper," Yes, I couldn't agree more. It was merely trying to provide a",2,,,Burrow's End
34386,168,Thorn,Jasper,"sense of hope after such a tragic encounter, but, yes, personally, I",2,,,Burrow's End
34387,169,Thorn,Jasper,suggest we keep moving up to higher ground. I think the further away we,2,,,Burrow's End
34388,170,Thorn,Jasper,"can get from what's just happened, the better. But I open up to the",2,,,Burrow's End
34389,171,Thorn,Jasper,"group, and we have an excellent tracker to help us get to that higher",2,,,Burrow's End
34390,172,Thorn,Jasper,ground.,2,,,Burrow's End
34391,173,Siobhan,Siobhan," I'm, like, sitting in a tree. ",2,,(group laughs),Burrow's End
34392,174,Thorn,Jasper," We have an excellent track, trackers, you know, where is Jaysohn?",2,,,Burrow's End
34393,175,Aabria,Aabria, Make a stealth check. ,2,,(group laughs),Burrow's End
34394,176,Siobhan,Siobhan, 19.,2,,,Burrow's End
34395,177,Aabria,Aabria," In a rare moment of quiet, Jaysohn has disappeared.",2,,,Burrow's End
34396,178,Brennan,Brennan," Aabria, I have a request.",2,,,Burrow's End
34397,179,Aabria,Aabria, Sure.,2,,,Burrow's End
34398,180,Brennan,Brennan, So I have this ability as a paladin-,2,,,Burrow's End
34399,181,Aabria,Aabria," Oh, talk to me, okay. ",2,,(group laughs),Burrow's End
34400,182,Brennan,Brennan," Called ""Divine Sense,"" and it lets me-",2,,,Burrow's End
34401,183,Aabria,Aabria," Oh, that's so interesting.",2,,,Burrow's End
34402,184,Brennan,Brennan," And it lets me detect celestials, fiends, and undead, but I",2,,,Burrow's End
34403,185,Brennan,Brennan,can't help but notice that we're at a setting that probably doesn't have,2,,,Burrow's End
34404,186,Brennan,Brennan,those.,2,,,Burrow's End
34405,187,Aabria,Aabria, Correct.,2,,,Burrow's End
34406,188,Brennan,Brennan, Can I use divine sense to detect my children?,2,,,Burrow's End
34407,189,Brennan,Brennan,,2,,(group laughs),Burrow's End
34408,190,Aabria,Aabria," I think maybe Jaysohn counts as a fiend, like a little bit.",2,,,Burrow's End
34409,191,Erika,Erika, Hellions.,2,,,Burrow's End
34410,192,Izzy,Izzy," Can I just be with him, like, we're just up in a tree?",2,,,Burrow's End
34411,193,Siobhan,Siobhan," Up in a tree,",2,,,Burrow's End
34412,194,Aabria,Aabria, Give me a stealth check.,2,,,Burrow's End
34413,195,Siobhan,Siobhan," just, like, doing cat's cradles.",2,,,Burrow's End
34414,196,Izzy,Izzy, Stealth? 12.,2,,,Burrow's End
34415,197,Aabria,Aabria," Yeah. Yeah, you're sitting in the knot of a tree. What does it",2,,,Burrow's End
34416,198,Aabria,Aabria,look like as Tula activates this ability? ,2,,(slow ambient music),Burrow's End
34417,199,Lila,Izzy, Jaysohn's right here.,2,,,Burrow's End
34418,200,Tula,Brennan," Thank you, sweetie.",2,,,Burrow's End
34419,201,Brennan,Brennan, It looks like that. ,2,,(group laughs),Burrow's End
34420,202,Aabria,Aabria," Thank you so much, a moment killer, we fucking love it. ",2,,(group,Burrow's End
34421,203,Aabria,Aabria,,2,,laughs),Burrow's End
34422,204,Jaysohn,Siobhan, I'm right here.,2,,,Burrow's End
34423,205,Tula,Brennan," Sweethearts, do you want to come down from the tree? We're gonna",2,,,Burrow's End
34424,206,Tula,Brennan,talk about where we want to go next.,2,,,Burrow's End
34425,207,Jaysohn,Siobhan, Not really.,2,,,Burrow's End
34426,208,Jasper,Jasper, Oh. ,2,,(laughs),Burrow's End
34427,209,Ava,Erika, Come on down.,2,,,Burrow's End
34428,210,Lila,Izzy, I think we should be up in the tree.,2,,,Burrow's End
34429,211,Jaysohn,Siobhan," We're okay being up in the tree, thank you.",2,,,Burrow's End
34430,212,Lila,Izzy, I think we should all live up in the tree.,2,,,Burrow's End
34431,213,Jaysohn,Siobhan, Maybe we should live up in the tree-,2,,,Burrow's End
34432,214,Ava,Erika, Control your children.,2,,,Burrow's End
34433,215,Lila,Izzy, We don't need-,2,,,Burrow's End
34434,216,Jaysohn,Siobhan, It's kind of nice up here.,2,,,Burrow's End
34435,217,Lila,Izzy, We're just sort of saying how we feel-,2,,,Burrow's End
34436,218,Jaysohn,Siobhan, I think a bird used to live up here. ,2,,(Aabria laughs),Burrow's End
34437,219,Tula,Brennan, A bird used to live up there?,2,,,Burrow's End
34438,220,Siobhan,Siobhan, Yeah.,2,,,Burrow's End
34439,221,Brennan,Brennan, I'm gonna go up in the tree with my kids.,2,,,Burrow's End
34440,222,Aabria,Aabria," Sure, sure, sure.",2,,,Burrow's End
34441,223,Lila,Izzy,  Mom.,2,,(whisper),Burrow's End
34442,224,Tula,Brennan, Yeah?,2,,,Burrow's End
34443,225,Lila,Izzy, Is Thorn bad? ,2,,"(light, plucking string music)",Burrow's End
34444,226,Tula,Brennan," No, Thorn's not bad.",2,,,Burrow's End
34445,227,Jaysohn,Siobhan,  Are you sure?,2,,(whisper),Burrow's End
34446,228,Tula,Brennan," No, Thorn is not bad, Thorn is trying to help. And sometimes when",2,,,Burrow's End
34447,229,Tula,Brennan,"people try to help, they set very lofty goals. That's all, so unless, is",2,,,Burrow's End
34448,230,Tula,Brennan,there are hole big enough in the tree that you found that could fit all,2,,,Burrow's End
34449,231,Tula,Brennan,of us and food and moss?,2,,,Burrow's End
34450,232,Jaysohn,Siobhan, Oh.,2,,,Burrow's End
34451,233,Lila,Izzy," I don't know, but I feel like we shouldn't be on the ground",2,,,Burrow's End
34452,234,Lila,Izzy,because the ground is where everybody dies.,2,,,Burrow's End
34453,235,Jaysohn,Siobhan, Right.,2,,,Burrow's End
34454,236,Tula,Brennan," Unfortunately, sweetie, there are owls and birds in the forest",2,,,Burrow's End
34455,237,Tula,Brennan,"that can come up into the trees. So the ground's not safe, but the trees",2,,,Burrow's End
34456,238,Tula,Brennan,are not a permanent answer.,2,,,Burrow's End
34457,239,Lila,Izzy, Can we eat birds?,2,,,Burrow's End
34458,240,Tula,Brennan," It's hard to eat birds, hard to catch birds.",2,,,Burrow's End
34459,241,Jaysohn,Siobhan, I think I could do it.,2,,,Burrow's End
34460,242,Lila,Izzy, Jaysohn's really fast.,2,,,Burrow's End
34461,243,Tula,Brennan," Well, then let's go find some bird nests. I don't see any here.",2,,,Burrow's End
34462,244,Tula,Brennan,Let's head back down and join the rest of the family.,2,,,Burrow's End
34463,245,Lila,Izzy, They might have eggs.,2,,,Burrow's End
34464,246,Jaysohn,Siobhan," Yeah,  I love eggs.",2,,(gasps),Burrow's End
34465,247,Lila,Izzy, Me too.,2,,,Burrow's End
34466,248,Tula,Brennan," Let's go find some eggs, come on.",2,,,Burrow's End
34467,249,Lila,Izzy, Mom?,2,,,Burrow's End
34468,250,Tula,Brennan, Yeah.,2,,,Burrow's End
34469,251,Lila,Izzy," I've been trying to figure out what's going on for, like, a really",2,,,Burrow's End
34470,252,Lila,Izzy,"long time, and it finally happened, like, I thought that something",2,,,Burrow's End
34471,253,Lila,Izzy,"really bad was gonna happen, and it did, and I wasn't able to figure out",2,,,Burrow's End
34472,254,Lila,Izzy,"what happened, and nobody says whatever happened, except our dad is",2,,,Burrow's End
34473,255,Lila,Izzy,"dead, but, like, all of the adults say all the time that, like, a big",2,,,Burrow's End
34474,256,Lila,Izzy,"thing is gonna happen, or did happen all the time, and it's sort of the-",2,,,Burrow's End
34475,257,Jaysohn,Siobhan," Yeah, they did say that.",2,,,Burrow's End
34476,258,Lila,Izzy," The most frustrating thing ever, and it sort of makes me feel",2,,,Burrow's End
34477,259,Lila,Izzy,"like, it hurts to be awake because it's all I think about, and there are",2,,,Burrow's End
34478,260,Lila,Izzy,never any answers.,2,,,Burrow's End
34479,261,Jaysohn,Siobhan, She doesn't really sleep.,2,,,Burrow's End
34480,262,Lila,Izzy," And the people just say, like, things-",2,,,Burrow's End
34481,263,Jaysohn,Siobhan, I don't think she really sleeps.,2,,,Burrow's End
34482,264,Lila,Izzy," People say ""things"", ""creatures"", ""Blue"", ""monsters"", and it's",2,,,Burrow's End
34483,265,Lila,Izzy,"like, oh, my God.",2,,,Burrow's End
34484,266,Jaysohn,Siobhan, She really wants to know. She talks about it all the time.,2,,,Burrow's End
34485,267,Lila,Izzy," Just say what's going on. And then it's, like, finally the bad",2,,,Burrow's End
34486,268,Lila,Izzy,"thing comes, and it's just the air, it's not even, like, a monster or",2,,,Burrow's End
34487,269,Lila,Izzy,something that you can see-,2,,,Burrow's End
34488,270,Jaysohn,Siobhan," Yeah, it's, like, it shouldn't be that scary-",2,,,Burrow's End
34489,271,Lila,Izzy," That, like, kills you, it's just air, and then it's like, I listen",2,,,Burrow's End
34490,272,Lila,Izzy,"to what everybody's saying all the time, but it just feels like actually",2,,,Burrow's End
34491,273,Lila,Izzy,"none of the adults even know what they're talking about. It's like, oh,",2,,,Burrow's End
34492,274,Lila,Izzy,"nobody has actually ever seen it, except for maybe Dad, and he's dead.",2,,,Burrow's End
34493,275,Jaysohn,Siobhan, He's so dead.,2,,,Burrow's End
34494,276,Lila,Izzy," So it's,  you know, and-",2,,(frustrated stammers),Burrow's End
34495,277,Tula,Brennan," Sweetie, breathe, breathe. Can you take a deep breath? Can you",2,,,Burrow's End
34496,278,Tula,Brennan,take a deep breath in through your nose? One long breath in through your,2,,,Burrow's End
34497,279,Tula,Brennan,"nose,  and then out through your mouth. ",2,,(deep breath in)(tight breath,Burrow's End
34498,280,Tula,Brennan," Not that tight, a little bit softer than that. ",2,,out)(inhales)(big,Burrow's End
34499,281,Tula,Brennan," That's all, great.",2,,exhale),Burrow's End
34500,282,Lila,Izzy,  Your breath smells so bad.,2,,(whisper),Burrow's End
34501,283,Jaysohn,Siobhan,  Shut up!,2,,(whisper),Burrow's End
34502,284,Tula,Brennan, Don't tell your sister to shut up.,2,,,Burrow's End
34503,285,Jaysohn,Siobhan,  Shut up!,2,,(silently),Burrow's End
34504,286,Tula,Brennan," Let's go-  Let's all go back down, and",2,,(Crew laughs from offset),Burrow's End
34505,287,Tula,Brennan,"tonight, you are owed a conversation about all these things. So we'll",2,,,Burrow's End
34506,288,Tula,Brennan,"talk about them tonight, okay? But let's go, it's not safe where we are",2,,,Burrow's End
34507,289,Tula,Brennan,right now.,2,,,Burrow's End
34508,290,Aabria,Aabria," Lila, do you trust everything your mother just told you?",2,,,Burrow's End
34509,291,Izzy,Izzy, Implicitly. ,2,,(group laughs),Burrow's End
34510,292,Aabria,Aabria, Okay.,2,,,Burrow's End
34511,293,Rashawn,Rashawn, Whoa.,2,,,Burrow's End
34512,294,Erika,Erika," Meanwhile, down on the ground, I'm, like, real close to Thorn.",2,,,Burrow's End
34513,295,Erika,Erika,I'm gonna do an insight check.,2,,,Burrow's End
34514,296,Aabria,Aabria, Looking for what?,2,,,Burrow's End
34515,297,Siobhan,Siobhan, Just having your mother-in-law just-,2,,,Burrow's End
34516,298,Erika,Erika," Doesn't matter, it's an eight, it's nothing.",2,,,Burrow's End
34517,299,Viola,Rashawn, Mama's just trying to sniff you out.,2,,,Burrow's End
34518,300,Erika,Erika," Yeah, I am literally. ",2,,(sniffs),Burrow's End
34519,301,Aabria,Aabria, Oh.,2,,,Burrow's End
34520,302,Thorn,Jasper, There you go.,2,,,Burrow's End
34521,303,Teedles,Aabria," Hi, miss-",2,,,Burrow's End
34522,304,Ava,Erika, Shh!,2,,,Burrow's End
34523,305,Thorn,Jasper," Shh, definitely-",2,,,Burrow's End
34524,306,Teedles,Aabria, Interesting.,2,,,Burrow's End
34525,307,Thorn,Jasper, Definitely don't.,2,,,Burrow's End
34526,308,Teedles,Aabria," Yeah, she's very close to you, and it's very weird.",2,,,Burrow's End
34527,309,Thorn,Jasper," I know, it's fine. Don't worry about it.",2,,,Burrow's End
34528,310,Teedles,Aabria, I'm feeling a way-,2,,,Burrow's End
34529,311,Thorn,Jasper," I'll let you know, I'll let you know.",2,,,Burrow's End
34530,312,Viola,Rashawn,"  It's okay, she gets close.",2,,(silently),Burrow's End
34531,313,Teedles,Aabria," Yeah, but, I mean.",2,,,Burrow's End
34532,314,Thorn,Jasper," Do you, you know what that was.",2,,,Burrow's End
34533,315,Ava,Erika," I don't know if I know what that was, but I know about the",2,,,Burrow's End
34534,316,Ava,Erika,"lightning, and I know that you deeply care about my daughter. So right",2,,,Burrow's End
34535,317,Ava,Erika,"now, I'm going to leave the very precarious fate of this remainder of",2,,,Burrow's End
34536,318,Ava,Erika,the Warren in your hands.,2,,,Burrow's End
34537,319,Thorn,Jasper, Mm-hmm.,2,,,Burrow's End
34538,320,Ava,Erika,  Don't fuck it up.,2,,(intense whisper),Burrow's End
34539,321,Thorn,Jasper, Don't plan on it.,2,,,Burrow's End
34540,322,Thorn,Jasper,  ,2,,(group laughs)(Jasper sighs)(group laughs),Burrow's End
34541,323,Viola,Rashawn," That's honestly her being really loving and inviting, you know.",2,,,Burrow's End
34542,324,Thorn,Jasper, I really think I made a breakthrough with your mother. That was,2,,,Burrow's End
34543,325,Thorn,Jasper,"amazing, did you see that?",2,,,Burrow's End
34544,326,Viola,Rashawn, I did see it.,2,,,Burrow's End
34545,327,Thorn,Jasper," Yeah, okay, she-",2,,,Burrow's End
34546,328,Viola,Rashawn, But I've also-,2,,,Burrow's End
34547,329,Thorn,Jasper, She said the word trust-,2,,,Burrow's End
34548,330,Viola,Rashawn," The word trust, but also-",2,,,Burrow's End
34549,331,Thorn,Jasper, She said the word trust.,2,,,Burrow's End
34550,332,Teedles,Aabria," Right, but you didn't, I'm sorry, I'm not in this conversation.",2,,,Burrow's End
34551,333,Thorn,Jasper," It's okay, come in.",2,,,Burrow's End
34552,334,Aabria,Aabria," Olliver, no, Olliver's like,",2,,,Burrow's End
34553,335,Olliver,Aabria," Me and Teedles are gonna, we're just gonna go around-",2,,,Burrow's End
34554,336,Erika,Erika," Go around to the other, see the rest of the, see the rest of the",2,,,Burrow's End
34555,337,Erika,Erika,stoats that are still around.,2,,,Burrow's End
34556,338,Aabria,Aabria, Just two.,2,,,Burrow's End
34557,339,Erika,Erika," Oh that's just two, everybody else-",2,,,Burrow's End
34558,340,Siobhan,Siobhan, Did the badger make it out?,2,,,Burrow's End
34559,341,Aabria,Aabria," Yeah, you guys saw the badger sprinting off in a direction.",2,,,Burrow's End
34560,342,Ava,Erika," All right, all right, and the two of you.",2,,,Burrow's End
34561,343,Teedles,Aabria, Hi.,2,,,Burrow's End
34562,344,Ava,Erika, Hi.,2,,,Burrow's End
34563,345,Ava,Erika, Toodles.,2,,,Burrow's End
34564,346,Teedles,Aabria,  Mm-mm.,2,,(offended),Burrow's End
